normalized_brand,brand_example,ingredient_label,active_ingredients,observation_count,total_brand_observations,relative_frequency,rank,is_unique_top_candidate
propofol kabi emul per infusione,Propofol kabi emul. per infusione,Propofol,"[""Propofol""]",1,1,1.0,1,True
prozac,Prozac,Fluoxetina,"[""Fluoxetina""]",1,1,1.0,1,True
quark,Quark,Ramipril,"[""Ramipril""]",2,2,1.0,1,True
questran,Questran,Colestiramina,"[""Colestiramina""]",2,2,1.0,1,True
quetiapina ahcl,Quetiapina ahcl,Quetiapina,"[""Quetiapina""]",1,1,1.0,1,True
quetiapina eg,Quetiapina eg,Quetiapina,"[""Quetiapina""]",2,2,1.0,1,True
quetiapina san,Quetiapina san,Quetiapina,"[""Quetiapina""]",1,1,1.0,1,True
quiloga,Quiloga,Rosuvastatina/ezetimibe,"[""Rosuvastatina"", ""ezetimibe""]",13,13,1.0,1,True
rabeprazolo alt,Rabeprazolo alt,Rabeprazolo,"[""Rabeprazolo""]",1,1,1.0,1,True
ramilolo,Ramilolo,Ramipril/bisoprololo,"[""Ramipril"", ""bisoprololo""]",1,1,1.0,1,True
ramipril abc,Ramipril abc,Ramipril,"[""Ramipril""]",6,6,1.0,1,True
ramipril alm,Ramipril alm,Ramipril,"[""Ramipril""]",3,3,1.0,1,True
ramipril alt,Ramipril alt,Ramipril,"[""Ramipril""]",4,4,1.0,1,True
ramipril aml ze,Ramipril aml ze,Ramipril/amlodipina,"[""Ramipril"", ""amlodipina""]",1,1,1.0,1,True
ramipril auro,Ramipril auro,Ramipril,"[""Ramipril""]",1,1,1.0,1,True
ramipril eg,Ramipril eg,Ramipril,"[""Ramipril""]",1,1,1.0,1,True
ramipril id zen,Ramipril id zen,Ramipril/idroclorotiazide,"[""Ramipril"", ""idroclorotiazide""]",2,2,1.0,1,True
ramipril krka,Ramipril krka,Ramipril,"[""Ramipril""]",1,1,1.0,1,True
ramipril rat,Ramipril rat,Ramipril,"[""Ramipril""]",1,1,1.0,1,True
ramipril zen,Ramipril zen,Ramipril,"[""Ramipril""]",63,63,1.0,1,True
ranexa,Ranexa,Ranolazina,"[""Ranolazina""]",18,18,1.0,1,True
ranolazina kr,Ranolazina kr,Ranolazina,"[""Ranolazina""]",5,5,1.0,1,True
ranozek,Ranozek,Ranolazina,"[""Ranolazina""]",3,3,1.0,1,True
reaptan,Reaptan,Perindopril/amlodipina,"[""Perindopril"", ""amlodipina""]",4,4,1.0,1,True
refluxsan nipio,Refluxsan nipio,Nessun principio attivo,"[""Nessun principio attivo""]",1,1,1.0,1,True
relvar ell,Relvar ell,Fluticasone/vilanterolo,"[""Fluticasone"", ""vilanterolo""]",6,6,1.0,1,True
renvela,Renvela,Sevelamer,"[""Sevelamer""]",2,2,1.0,1,True
repatha,Repatha,Evolocumab,"[""Evolocumab""]",6,6,1.0,1,True
requip,Requip,Ropinirolo,"[""Ropinirolo""]",1,1,1.0,1,True
retacrit,Retacrit,Epoetina zeta,"[""Epoetina zeta""]",2,2,1.0,1,True
reumaflex,Reumaflex,Metotrexato,"[""Metotrexato""]",2,2,1.0,1,True
revatio,Revatio,Sildenafil,"[""Sildenafil""]",6,6,1.0,1,True
revinty ell,Revinty ell,Fluticasone/vilanterolo,"[""Fluticasone"", ""vilanterolo""]",9,9,1.0,1,True
rifadin,Rifadin,Rifampicina,"[""Rifampicina""]",2,2,1.0,1,True
rinoclenil,Rinoclenil,Beclometasone,"[""Beclometasone""]",1,1,1.0,1,True
riopan,Riopan,Magaldrato,"[""Magaldrato""]",5,5,1.0,1,True
risperdal,Risperdal,Risperidone,"[""Risperidone""]",1,1,1.0,1,True
ritmodan retard,Ritmodan retard,Disopiramide,"[""Disopiramide""]",1,1,1.0,1,True
rivaroxaban doc,Rivaroxaban doc,Rivaroxaban,"[""Rivaroxaban""]",22,22,1.0,1,True
rivaroxaban eg,Rivaroxaban eg,Rivaroxaban,"[""Rivaroxaban""]",5,5,1.0,1,True
rivastigmina zent,Rivastigmina zent,Rivastigmina,"[""Rivastigmina""]",1,1,1.0,1,True
rivotril,Rivotril,Clonazepam,"[""Clonazepam""]",3,3,1.0,1,True
rizmoic,Rizmoic,Naldemedina,"[""Naldemedina""]",2,2,1.0,1,True
robilas,Robilas,Bilastina,"[""Bilastina""]",1,1,1.0,1,True
rocaltrol,Rocaltrol,Calcitriolo,"[""Calcitriolo""]",2,2,1.0,1,True
roldap,Roldap,Rasagilina,"[""Rasagilina""]",1,1,1.0,1,True
rolufta ellipta,Rolufta ellipta,Umeclidinio,"[""Umeclidinio""]",3,3,1.0,1,True
rosuasa,Rosuasa,Rosuvastatina/acido acetilsalicilico,"[""Rosuvastatina"", ""acido acetilsalicilico""]",2,2,1.0,1,True
rosumibe,Rosumibe,Rosuvastatina/ezetimibe,"[""Rosuvastatina"", ""ezetimibe""]",98,98,1.0,1,True
rosuvastatina,Rosuvastatina,Rosuvastatina,"[""Rosuvastatina""]",3,3,1.0,1,True
rosuvastatina abc,Rosuvastatina abc,Rosuvastatina,"[""Rosuvastatina""]",2,2,1.0,1,True
rosuvastatina acc,Rosuvastatina acc,Rosuvastatina,"[""Rosuvastatina""]",1,1,1.0,1,True
rosuvastatina ari,Rosuvastatina ari,Rosuvastatina,"[""Rosuvastatina""]",2,2,1.0,1,True
rosuvastatina au,Rosuvastatina au,Rosuvastatina,"[""Rosuvastatina""]",2,2,1.0,1,True
rosuvastatina eg,Rosuvastatina eg,Rosuvastatina,"[""Rosuvastatina""]",5,5,1.0,1,True
rosuvastatina ez do,Rosuvastatina ez do,Rosuvastatina/ezetimibe,"[""Rosuvastatina"", ""ezetimibe""]",1,1,1.0,1,True
rosuvastatina my,Rosuvastatina my,Rosuvastatina,"[""Rosuvastatina""]",7,7,1.0,1,True
rosuvastatina sa,Rosuvastatina sa,Rosuvastatina,"[""Rosuvastatina""]",2,2,1.0,1,True
rosuvastatina zen,Rosuvastatina zen,Rosuvastatina,"[""Rosuvastatina""]",25,25,1.0,1,True
ryaltris,Ryaltris,Mometasone furoato/olopatadina,"[""Mometasone furoato"", ""olopatadina""]",1,1,1.0,1,True
rybelsus,Rybelsus,Semaglutide,"[""Semaglutide""]",10,10,1.0,1,True
rytmobeta,Rytmobeta,Sotalolo,"[""Sotalolo""]",1,1,1.0,1,True
rytmonorm,Rytmonorm,Propafenone,"[""Propafenone""]",5,5,1.0,1,True
safluround coll,Safluround coll.,Tafluprost,"[""Tafluprost""]",1,1,1.0,1,True
saizen,Saizen,Somatropina,"[""Somatropina""]",1,1,1.0,1,True
samyr,Samyr,Ademetionina,"[""Ademetionina""]",1,1,1.0,1,True
sandimmun neoral,Sandimmun neoral,Ciclosporina,"[""Ciclosporina""]",1,1,1.0,1,True
scemblix,Scemblix,Asciminib,"[""Asciminib""]",1,1,1.0,1,True
seebri breezhaler,Seebri breezhaler,Glicopirronio,"[""Glicopirronio""]",4,4,1.0,1,True
seloken,Seloken,Metoprololo,"[""Metoprololo""]",50,50,1.0,1,True
septrapat,Septrapat,Buprenorfina,"[""Buprenorfina""]",1,1,1.0,1,True
sequacor,Sequacor,Bisoprololo,"[""Bisoprololo""]",9,9,1.0,1,True
seretide,Seretide,Salmeterolo/fluticasone,"[""Salmeterolo"", ""fluticasone""]",1,1,1.0,1,True
sereupin,Sereupin,Paroxetina,"[""Paroxetina""]",5,5,1.0,1,True
seroquel,Seroquel,Quetiapina,"[""Quetiapina""]",1,1,1.0,1,True
sertralina acc,Sertralina acc,Sertralina,"[""Sertralina""]",2,2,1.0,1,True
sertralina ari,Sertralina ari,Sertralina,"[""Sertralina""]",1,1,1.0,1,True
sideral al,Sideral al,Nessun principio attivo,"[""Nessun principio attivo""]",1,1,1.0,1,True
sideral oro,Sideral oro,Nessun principio attivo,"[""Nessun principio attivo""]",2,3,0.6666666666666666,1,False
sideral oro,Sideral oro,Ferro,"[""Ferro""]",1,3,0.3333333333333333,2,False
sildenafil aur,Sildenafil aur,Sildenafil,"[""Sildenafil""]",3,3,1.0,1,True
silodosina ari,Silodosina ari,Silodosina,"[""Silodosina""]",7,7,1.0,1,True
silodosina aur,Silodosina aur,Silodosina,"[""Silodosina""]",1,1,1.0,1,True
silodosina teva,Silodosina teva,Silodosina,"[""Silodosina""]",12,12,1.0,1,True
silodyx,Silodyx,Silodosina,"[""Silodosina""]",1,1,1.0,1,True
simestat,Simestat,Rosuvastatina,"[""Rosuvastatina""]",1,1,1.0,1,True
simeticone ibi,Simeticone ibi,Dimeticone,"[""Dimeticone""]",1,1,1.0,1,True
simvastatina auro,Simvastatina auro,Simvastatina,"[""Simvastatina""]",2,2,1.0,1,True
simvastatina doc,Simvastatina doc,Simvastatina,"[""Simvastatina""]",1,1,1.0,1,True
sinemet,Sinemet,Levodopa/carbidopa,"[""Levodopa"", ""carbidopa""]",5,5,1.0,1,True
singulair,Singulair,Montelukast,"[""Montelukast""]",1,1,1.0,1,True
sintrom,Sintrom,Acenocumarolo,"[""Acenocumarolo""]",2,2,1.0,1,True
sinvacor,Sinvacor,Simvastatina,"[""Simvastatina""]",12,12,1.0,1,True
sitagliptin hcs,Sitagliptin hcs,Sitagliptin,"[""Sitagliptin""]",1,1,1.0,1,True
sitagliptin met san,Sitagliptin met san,Sitagliptin/metformina,"[""Sitagliptin"", ""metformina""]",1,1,1.0,1,True
slinda,Slinda,Drospirenone,"[""Drospirenone""]",2,2,1.0,1,True
slowmet,Slowmet,Metformina,"[""Metformina""]",34,34,1.0,1,True
sodio bicarb,Sodio bicarb,Sodio bicarbonato,"[""Sodio bicarbonato""]",3,3,1.0,1,True
songar,Songar,Triazolam,"[""Triazolam""]",4,4,1.0,1,True
sotalex,Sotalex,Sotalolo,"[""Sotalolo""]",1,1,1.0,1,True
sotalolo hex,Sotalolo hex,Sotalolo,"[""Sotalolo""]",1,1,1.0,1,True
spiolto respi,Spiolto respi,Tiotropio/olodaterolo,"[""Tiotropio"", ""olodaterolo""]",1,1,1.0,1,True
spiriva respi,Spiriva respi,Tiotropio,"[""Tiotropio""]",3,3,1.0,1,True
spirolang,Spirolang,Spironolattone,"[""Spironolattone""]",8,8,1.0,1,True
steglatro,Steglatro,Ertugliflozin,"[""Ertugliflozin""]",2,2,1.0,1,True
steglujan,Steglujan,Sitagliptin/ertugliflozin,"[""Sitagliptin"", ""ertugliflozin""]",1,1,1.0,1,True
stilnox,Stilnox,Zolpidem,"[""Zolpidem""]",2,2,1.0,1,True
symbicort,Symbicort,Budesonide/formoterolo,"[""Budesonide"", ""formoterolo""]",1,1,1.0,1,True
synjardy,Synjardy,Empagliflozin/metformina,"[""Empagliflozin"", ""metformina""]",2,2,1.0,1,True
tachidol,Tachidol,Paracetamolo/codeina,"[""Paracetamolo"", ""codeina""]",4,4,1.0,1,True
tachipirina,Tachipirina,Paracetamolo,"[""Paracetamolo""]",6,6,1.0,1,True
tachipirina orosol grat,Tachipirina orosol grat.,Paracetamolo,"[""Paracetamolo""]",3,3,1.0,1,True
tadalafil acc,Tadalafil acc,Tadalafil,"[""Tadalafil""]",1,1,1.0,1,True
tadalafil eg,Tadalafil eg,Tadalafil,"[""Tadalafil""]",1,1,1.0,1,True
tadomon,Tadomon,Tapentadolo,"[""Tapentadolo""]",3,3,1.0,1,True
tagrisso,Tagrisso,Osimertinib,"[""Osimertinib""]",1,1,1.0,1,True
talmanco,Talmanco,Tadalafil,"[""Tadalafil""]",5,5,1.0,1,True
talofen,Talofen,Promazina,"[""Promazina""]",1,1,1.0,1,True
tamiflu,Tamiflu,Oseltamivir,"[""Oseltamivir""]",1,1,1.0,1,True
tamsulosin sun,Tamsulosin sun,Tamsulosina,"[""Tamsulosina""]",22,22,1.0,1,True
tamsulosina eg,Tamsulosina eg,Tamsulosina,"[""Tamsulosina""]",2,2,1.0,1,True
tamsulosina zen,Tamsulosina zen,Tamsulosina,"[""Tamsulosina""]",10,10,1.0,1,True
tardyfer,Tardyfer,Ferroso solfato,"[""Ferroso solfato""]",6,6,1.0,1,True
tareg,Tareg,Valsartan,"[""Valsartan""]",99,99,1.0,1,True
tavor,Tavor,Lorazepam,"[""Lorazepam""]",8,8,1.0,1,True
tecnofer,Tecnofer,Ferroso glicina solfato,"[""Ferroso glicina solfato""]",1,1,1.0,1,True
tenormin,Tenormin,Atenololo,"[""Atenololo""]",1,1,1.0,1,True
teraprost,Teraprost,Terazosina,"[""Terazosina""]",4,4,1.0,1,True
teraxans,Teraxans,Perindopril/indapamide,"[""Perindopril"", ""indapamide""]",1,1,1.0,1,True
ticagrelor dr,Ticagrelor dr,Ticagrelor,"[""Ticagrelor""]",2,2,1.0,1,True
ticagrelor mv,Ticagrelor mv,Ticagrelor,"[""Ticagrelor""]",1,1,1.0,1,True
tiche,Tiche,Levotiroxina,"[""Levotiroxina""]",1,1,1.0,1,True
tidocomb coll,Tidocomb coll.,Dorzolamide/timololo,"[""Dorzolamide"", ""timololo""]",1,1,1.0,1,True
tiklid,Tiklid,Ticlopidina,"[""Ticlopidina""]",1,1,1.0,1,True
timogel fel oft,Timogel fel oft.,Timololo,"[""Timololo""]",2,2,1.0,1,True
tinset,Tinset,Oxatomide,"[""Oxatomide""]",3,3,1.0,1,True
tirosint,Tirosint,Levotiroxina,"[""Levotiroxina""]",2,2,1.0,1,True
tivicay,Tivicay,Dolutegravir,"[""Dolutegravir""]",1,1,1.0,1,True
tixteller,Tixteller,Rifaximina,"[""Rifaximina""]",2,2,1.0,1,True
tobradex coll,Tobradex coll.,Tobramicina/desametasone,"[""Tobramicina"", ""desametasone""]",1,1,1.0,1,True
tobral coll,Tobral coll.,Tobramicina,"[""Tobramicina""]",1,1,1.0,1,True
topamax,Topamax,Topiramato,"[""Topiramato""]",1,1,1.0,1,True
topiramato eg,Topiramato eg,Topiramato,"[""Topiramato""]",1,1,1.0,1,True
torasemide teva,Torasemide teva,Torasemide,"[""Torasemide""]",1,1,1.0,1,True
torvacol,Torvacol,Atorvastatina,"[""Atorvastatina""]",1,1,1.0,1,True
torvast,Torvast,Atorvastatina,"[""Atorvastatina""]",56,56,1.0,1,True
totalip,Totalip,Atorvastatina,"[""Atorvastatina""]",6,6,1.0,1,True
toujeo,Toujeo,Insulina glargine,"[""Insulina glargine""]",20,20,1.0,1,True
tovanor breezhaler,Tovanor breezhaler,Glicopirronio,"[""Glicopirronio""]",1,1,1.0,1,True
tovastibe,Tovastibe,Ezetimibe/atorvastatina,"[""Ezetimibe"", ""atorvastatina""]",38,40,0.95,1,False
tovastibe,Tovastibe,Atorvastatina/Ezetimibe,"[""Atorvastatina"", ""Ezetimibe""]",1,40,0.025,2,False
tovastibe,Tovastibe,Atorvastatina/ezetimibe,"[""Atorvastatina"", ""ezetimibe""]",1,40,0.025,3,False
tracleer,Tracleer,Bosentan,"[""Bosentan""]",1,1,1.0,1,True
trajenta,Trajenta,Linagliptin,"[""Linagliptin""]",2,2,1.0,1,True
tranex,Tranex,Acido tranexamico,"[""Acido tranexamico""]",2,2,1.0,1,True
tranquirit,Tranquirit,Diazepam,"[""Diazepam""]",4,4,1.0,1,True
travatan coll,Travatan coll.,Travoprost,"[""Travoprost""]",2,2,1.0,1,True
tredimin,Tredimin,Colecalciferolo,"[""Colecalciferolo""]",1,1,1.0,1,True
trelegy ell,Trelegy ell,Vilanterolo/umeclidinio/fluticasone,"[""Vilanterolo"", ""umeclidinio"", ""fluticasone""]",3,3,1.0,1,True
tresiba,Tresiba,Insulina degludec,"[""Insulina degludec""]",5,5,1.0,1,True
tresuvi,Tresuvi,Treprostinil,"[""Treprostinil""]",1,1,1.0,1,True
triamlo,Triamlo,Ramipril/amlodipina,"[""Ramipril"", ""amlodipina""]",1,1,1.0,1,True
triatec,Triatec,Ramipril,"[""Ramipril""]",16,16,1.0,1,True
triatec hct,Triatec hct,Ramipril/idroclorotiazide,"[""Ramipril"", ""idroclorotiazide""]",4,4,1.0,1,True
trilafon,Trilafon,Perfenazina,"[""Perfenazina""]",2,2,1.0,1,True
trimbow,Trimbow,Beclometasone/formoterolo/glicopirronio,"[""Beclometasone"", ""formoterolo"", ""glicopirronio""]",12,12,1.0,1,True
tripliam,Tripliam,Perindopril/indapamide/amlodipina,"[""Perindopril"", ""indapamide"", ""amlodipina""]",8,8,1.0,1,True
trittico,Trittico,Trazodone,"[""Trazodone""]",20,20,1.0,1,True
triveram,Triveram,Atorvastatina/perindopril/amlodipina,"[""Atorvastatina"", ""perindopril"", ""amlodipina""]",1,1,1.0,1,True
trixeo aerosphere,Trixeo aerosphere,Formoterolo/glicopirronio/budesonide,"[""Formoterolo"", ""glicopirronio"", ""budesonide""]",1,1,1.0,1,True
trulicity,Trulicity,Dulaglutide,"[""Dulaglutide""]",10,10,1.0,1,True
ultibro breezhaler,Ultibro breezhaler,Indacaterolo/glicopirronio,"[""Indacaterolo"", ""glicopirronio""]",1,1,1.0,1,True
unipril,Unipril,Ramipril,"[""Ramipril""]",1,1,1.0,1,True
uptravi,Uptravi,Selexipag,"[""Selexipag""]",6,6,1.0,1,True
uractone,Uractone,Spironolattone,"[""Spironolattone""]",1,1,1.0,1,True
urbason,Urbason,Metilprednisolone,"[""Metilprednisolone""]",4,4,1.0,1,True
urbason sol,Urbason sol,Metilprednisolone,"[""Metilprednisolone""]",1,1,1.0,1,True
urdes,Urdes,Acido ursodesossicolico,"[""Acido ursodesossicolico""]",1,1,1.0,1,True
uriquid,Uriquid,Febuxostat,"[""Febuxostat""]",1,1,1.0,1,True
urorec,Urorec,Silodosina,"[""Silodosina""]",7,7,1.0,1,True
ursilon,Ursilon,Acido ursodesossicolico,"[""Acido ursodesossicolico""]",1,1,1.0,1,True
ursobil,Ursobil,Acido ursodesossicolico,"[""Acido ursodesossicolico""]",1,1,1.0,1,True
valganciclovir my,Valganciclovir my,Valganciclovir,"[""Valganciclovir""]",1,1,1.0,1,True
valium,Valium,Diazepam,"[""Diazepam""]",1,1,1.0,1,True
valpinax,Valpinax,Ottatropina metilbromuro/diazepam,"[""Ottatropina metilbromuro"", ""diazepam""]",1,1,1.0,1,True
valsartan alm,Valsartan alm,Valsartan,"[""Valsartan""]",1,1,1.0,1,True
varcodes,Varcodes,Desametasone,"[""Desametasone""]",1,1,1.0,1,True
vasexten,Vasexten,Barnidipina,"[""Barnidipina""]",2,2,1.0,1,True
vatran,Vatran,Diazepam,"[""Diazepam""]",1,1,1.0,1,True
velmetia,Velmetia,Sitagliptin/metformina,"[""Sitagliptin"", ""metformina""]",1,1,1.0,1,True
vemlidy,Vemlidy,Tenofovir alafenamide,"[""Tenofovir alafenamide""]",1,1,1.0,1,True
venlafaxina alt,Venlafaxina alt,Venlafaxina,"[""Venlafaxina""]",1,1,1.0,1,True
ventolin,Ventolin,Salbutamolo,"[""Salbutamolo""]",1,1,1.0,1,True
verquvo,Verquvo,Vericiguat,"[""Vericiguat""]",11,11,1.0,1,True
vertiserc,Vertiserc,Betaistina,"[""Betaistina""]",1,1,1.0,1,True
vildagliptin met te,Vildagliptin met te,Vildagliptin/metformina,"[""Vildagliptin"", ""metformina""]",1,1,1.0,1,True
vokanamet,Vokanamet,Canagliflozin/metformina,"[""Canagliflozin"", ""metformina""]",2,2,1.0,1,True
vyndaqel,Vyndaqel,Tafamidis,"[""Tafamidis""]",6,6,1.0,1,True
vytorin,Vytorin,Ezetimibe/simvastatina,"[""Ezetimibe"", ""simvastatina""]",1,1,1.0,1,True
wegovy,Wegovy,Semaglutide,"[""Semaglutide""]",1,1,1.0,1,True
xanax,Xanax,Alprazolam,"[""Alprazolam""]",13,13,1.0,1,True
xarelto,Xarelto,Rivaroxaban,"[""Rivaroxaban""]",26,26,1.0,1,True
xatral,Xatral,Alfuzosina,"[""Alfuzosina""]",9,9,1.0,1,True
xelevia,Xelevia,Sitagliptin,"[""Sitagliptin""]",1,1,1.0,1,True
xigduo,Xigduo,Dapagliflozin/metformina,"[""Dapagliflozin"", ""metformina""]",3,3,1.0,1,True
xultophy,Xultophy,Insulina degludec/liraglutide,"[""Insulina degludec"", ""liraglutide""]",5,5,1.0,1,True
zanedip,Zanedip,Lercanidipina,"[""Lercanidipina""]",4,4,1.0,1,True
zarelis,Zarelis,Venlafaxina,"[""Venlafaxina""]",1,1,1.0,1,True
zaroxolyn,Zaroxolyn,Metolazone,"[""Metolazone""]",2,2,1.0,1,True
zestoretic,Zestoretic,Lisinopril/idroclorotiazide,"[""Lisinopril"", ""idroclorotiazide""]",1,1,1.0,1,True
zestril,Zestril,Lisinopril,"[""Lisinopril""]",1,1,1.0,1,True
zetia,Zetia,Ezetimibe,"[""Ezetimibe""]",2,2,1.0,1,True
zitromax,Zitromax,Azitromicina,"[""Azitromicina""]",3,3,1.0,1,True
zoloft,Zoloft,Sertralina,"[""Sertralina""]",29,29,1.0,1,True
zolpidem auro,Zolpidem auro,Zolpidem,"[""Zolpidem""]",2,2,1.0,1,True
zolpidem sand,Zolpidem sand,Zolpidem,"[""Zolpidem""]",1,1,1.0,1,True
zuglimet,Zuglimet,Metformina,"[""Metformina""]",4,4,1.0,1,True
zyloric,Zyloric,Allopurinolo,"[""Allopurinolo""]",50,50,1.0,1,True
